ITERATION, [OBJ_FUNC]STIFFNESSENERGY_OBJ_FUNC, [OBJ]OBJ_FUNC_DRESP:STIFFNESS_MEASURE, [OBJ]OBJ_FUNC_TERM:STIFFNESS_MEASURE, [CON]MASS_CONSTRAINT_1:LE:MASS_DRESP_1, [VAR]STIFFNESS_MEASURE, [VAR]MASS_DRESP_1, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 8.4735722e-5, 8.4735722e-5, 8.4735722e-5, 7.2348811e-2, 8.4735722e-5, 1.4469762e-1, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 8.4735722e-5, 8.4735722e-5, 8.4735722e-5, 7.2348706e-2, 8.4735722e-5, 7.2348706e-2, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 7.1323942e-5, 7.1323942e-5, 7.1323942e-5, 7.0697032e-2, 7.1323942e-5, 7.0697032e-2, 0.0000000, 1.8804036e-1, 4.9534757e-2, 9.9000001e-1
2, 6.0387491e-5, 6.0387491e-5, 6.0387491e-5, 7.1396463e-2, 6.0387491e-5, 7.1396463e-2, 0.0000000, 1.8110459e-1, 3.3692289e-2, 9.9000001e-1
3, 5.4661446e-5, 5.4661446e-5, 5.4661446e-5, 7.2009832e-2, 5.4661446e-5, 7.2009832e-2, 0.0000000, 1.0475471e-1, 2.2980472e-2, 9.9000001e-1
4, 5.3511172e-5, 5.3511172e-5, 5.3511172e-5, 7.1831822e-2, 5.3511172e-5, 7.1831822e-2, 0.0000000, 2.1495966e-2, 2.1145904e-2, 9.9000001e-1
5, 5.0340685e-5, 5.0340685e-5, 5.0340685e-5, 7.1964167e-2, 5.0340685e-5, 7.1964167e-2, 0.0000000, 6.2980622e-2, 2.0022430e-2, 9.9000001e-1
6, 4.7849593e-5, 4.7849593e-5, 4.7849593e-5, 7.1970761e-2, 4.7849593e-5, 7.1970761e-2, 0.0000000, 5.2060869e-2, 2.1220537e-2, 9.9000001e-1
7, 4.5661967e-5, 4.5661967e-5, 4.5661967e-5, 7.1861565e-2, 4.5661967e-5, 7.1861565e-2, 0.0000000, 4.7909144e-2, 2.4615426e-2, 9.9000001e-1
8, 4.3392087e-5, 4.3392087e-5, 4.3392087e-5, 7.1784422e-2, 4.3392087e-5, 7.1784422e-2, 0.0000000, 5.2310932e-2, 2.7782420e-2, 9.9000001e-1
9, 4.0437211e-5, 4.0437211e-5, 4.0437211e-5, 7.1710572e-2, 4.0437211e-5, 7.1710572e-2, 0.0000000, 7.3073179e-2, 3.1981613e-2, 9.9000001e-1
10, 3.7530324e-5, 3.7530324e-5, 3.7530324e-5, 7.1285099e-2, 3.7530324e-5, 7.1285099e-2, 0.0000000, 7.7454351e-2, 4.0455963e-2, 9.9000001e-1
